"BLOOD" "HIPPOC" "CORTEX" "HYPOTH" "SKM-GN" "SKM-VL" "HEART" "KIDNEY" "ADRNL" "COLON" "SPLEEN" "LUNG" "SMLINT" "LIVER" "WAT-SC"
"87" 0.503109 0.513658 0.53118 0.431036 0.535827 0.451007 0.515061 0.417678 0.657201 0.450801 0.614372 0.596109 0.557943 0.372828 0.452243
"88" 0.432798 0.547256 0.592302 0.497712 0.547402 0.547828 0.469047 0.551516 0.5633 0.520406 0.583609 0.647327 0.499052 0.53248 0.411322
"89" 0.498787 0.496621 0.662991 0.627561 0.544737 0.521367 0.483315 0.520352 0.57341 0.546394 0.580153 0.651973 0.588847 0.580656 0.421954
"90" 0.550941 0.697534 0.527346 0.468906 0.529969 0.481151 0.589965 0.434192 0.624715 0.498658 0.657868 0.634223 0.512863 0.41078 0.464952
"91" 0.599357 0.625853 0.548021 0.548408 0.533655 0.506956 0.577976 0.468122 0.581294 0.512166 0.672697 0.669977 0.389513 0.409876 0.434487
"92" 0.571383 0.590528 0.534995 0.578772 0.527178 0.550223 0.502868 0.488135 0.601714 0.510073 0.666448 0.547754 0.474903 0.378873 0.438352
"93" 0.447432 0.610128 0.460761 0.551983 0.566741 0.540266 0.513665 0.516524 0.606792 0.468479 0.654589 0.658754 0.616375 0.438053 0.467895
"94" 0.471243 0.64313 0.594191 0.578197 0.536003 0.474806 0.547402 0.471724 0.533827 0.526645 0.596997 0.571341 0.616368 0.444435 0.454695
"95" 0.534326 0.53105 0.589625 0.575377 0.590805 0.540439 0.526287 0.464937 0.637931 0.489272 0.584866 0.643267 0.497109 0.50633 0.439544
"96" 0.516442 0.516495 0.595214 0.589442 0.602342 0.557134 0.536112 0.454095 0.616956 0.493825 0.571547 0.65263 0.504807 0.50545 0.437888
"97" 0.501358 0.564213 0.567613 0.561338 0.558815 0.60511 0.537845 0.507299 0.605942 0.495894 0.580324 0.584617 0.630762 0.584382 0.441633
"98" 0.45561 0.541877 0.610278 0.443566 0.560769 0.494431 0.533583 0.484479 0.549233 0.494392 0.56511 0.692863 0.564158 0.449911 0.44738
"99" 0.456591 0.637716 0.62297 0.459318 0.474727 0.452983 0.551677 0.515908 0.573567 0.504112 0.644571 0.658758 0.609048 0.520736 0.435296
"100" 0.474143 0.651608 0.604105 0.364119 0.554729 0.435175 0.501894 0.435698 0.646289 0.511977 0.636254 0.713352 0.559259 0.433781 0.445146
"101" 0.497964 0.59433 0.417954 0.456675 0.463272 0.547767 0.570951 0.535131 0.580655 0.498217 0.593722 0.632833 0.626786 0.491976 0.417819
"102" 0.518589 0.634669 0.705281 0.564834 0.597916 0.477275 0.511651 0.417568 0.61409 0.542114 0.657729 0.610827 0.483673 0.473536 0.478728
"103" 0.585425 0.488883 0.656989 0.710272 0.500409 0.446647 0.499574 0.508494 0.622387 0.483342 0.560825 0.710418 0.498983 0.491337 0.448736
"104" 0.399491 0.72158 0.477116 0.154903 0.555751 0.545152 0.563039 0.476835 0.617804 0.588348 0.714558 0.688672 0.620874 0.476728 0.433883
"105" 0.480282 0.840419 0.707177 0.0875976 0.485607 0.502594 0.472762 0.437502 0.602832 0.468835 0.649911 0.721582 0.600639 0.381267 0.450062
"106" 0.518175 0.85067 0.622461 0.775788 0.590343 0.508507 0.603758 0.514865 0.621646 0.588465 0.671721 0.672831 0.521064 0.545393 0.443119
"107" 0.5247 0.524721 0.699553 0.361074 0.476475 0.547904 0.480538 0.434871 0.619413 0.465878 0.642992 0.744336 0.701636 0.411803 0.444636
"108" 0.629655 0.713638 0.452825 0.252647 0.536483 0.504707 0.540553 0.454499 0.536453 0.551493 0.665186 0.688698 0.593138 0.561102 0.460698
"109" 0.382143 0.55172 0.717668 0.698562 0.557891 0.51394 0.56444 0.475088 0.676011 0.520255 0.629179 0.628358 0.601967 0.4102 0.442049
"110" 0.407964 0.556828 0.711577 0.646053 0.558069 0.47714 0.584098 0.488986 0.667385 0.531932 0.638107 0.646321 0.585018 0.415772 0.441152
"111" 0.442366 0.638718 0.68423 0.445201 0.435284 0.525053 0.59158 0.510515 0.652368 0.531803 0.666363 0.628586 0.639863 0.440019 0.431702
"112" 0.495629 0.508654 0.342664 0.607563 0.532656 0.46897 0.505784 0.478499 0.608611 0.558335 0.612397 0.625859 0.564706 0.478211 0.426484
