Discovered in,Entrez,Symbol,Group,Model pvalue,AICc diff,Coefficients,R2(if applicable),subgroups
"acute,muscle",35,ACADS,time,9.43E-05,-6.234180615,"b0:-0.045(0.34),time.L:-0.28(0.0018),time.Q:-0.16(0.025)",51.47848017,"acute,muscle,time,2"
"acute,muscle",5901,RAN,training,1.17E-06,-6.41657875,"b0:-0.037(0.65),trainingresistance:0.3(1.2e-06)",NA,"acute,muscle,training,2"
"acute,muscle",5827,PXMP2,time,3.42E-07,-8.318182236,"b0:-0.12(7.4e-05),time.L:-0.27(4.9e-06),time.Q:-0.14(0.002)",72.3218555,"acute,muscle,time,2"
"acute,muscle",397,ARHGDIB,time,0.000101323,-5.645322899,"b0:0.024(0.61),time.L:0.25(0.0061),time.Q:0.2(0.0051)",61.81970865,"acute,muscle,time,1"
"acute,muscle",23109,DDN,time;training,9.10E-05,-5.944486681,"b0:0.35(0.016),time.L:0.47(0.062),time.Q:0.53(0.0016),trainingresistance:0.5(0.02)",59.21065359,"acute,muscle,time;training,1"
"acute,muscle",84926,SPRYD3,time,4.00E-05,-5.725631759,"b0:0.071(0.032),time.L:0.14(0.027),time.Q:0.17(0.00048)",69.08782435,"acute,muscle,time,1"
"acute,muscle",5502,PPP1R1A,time,2.76E-06,-9.682718791,"b0:-0.22(9.7e-11),time.L:-0.32(2.7e-06),time.Q:-0.17(0.00013)",87.13492305,"acute,muscle,time,2"
"acute,muscle",967,CD63,time,8.70E-06,-7.808122836,"b0:0.3(4.4e-07),time.L:0.52(9.1e-06),time.Q:0.15(0.073)",67.01206334,"acute,muscle,time,1"
"acute,muscle",10677,AVIL,training,0.000267966,-7.001362986,"b0:-0.067(0.38),trainingresistance:-0.41(0.00027)",40.97818299,"acute,muscle,training,3"
"acute,muscle",144453,BEST3,training,2.53E-05,-9.006052692,"b0:0.049(0.57),trainingresistance:0.56(2.5e-05)",55.07420377,"acute,muscle,training,2"
"acute,muscle",7103,TSPAN8,time,1.12E-07,-12.52032962,"b0:-0.28(7.8e-07),time.L:-0.49(1.1e-05),time.Q:-0.3(0.00044)",78.74468399,"acute,muscle,time,2"
"acute,muscle",490,ATP2B1,training,0.000218143,-7.017720674,"b0:0.046(0.28),trainingresistance:0.19(0.00022)",NA,"acute,muscle,training,2"
"acute,muscle",8411,EEA1,training;avg_age,0.000155621,-11.77540513,"b0:-0.47(0.00036),trainingresistance:0.27(0.00047),avg_age:0.013(0.0034)",NA,"acute,muscle,training;avg_age,1 and longterm,muscle,prop_males,1"
"acute,muscle",51559,NT5DC3,training,0.000214312,-11.32650331,"b0:0.011(0.83),trainingresistance:0.35(0.00021)",NA,"acute,muscle,training,2"
"acute,muscle",11108,PRDM4,time,4.95E-06,-5.346459097,"b0:0.037(0.29),time.L:0.2(0.00021),time.Q:0.11(0.0017)",NA,"acute,muscle,time,1"
"acute,muscle",10094,ARPC3,time,0.000177469,-5.218512818,"b0:0.11(0.012),time.L:0.24(0.0065),time.Q:0.19(0.0038)",56.45064021,"acute,muscle,time,1"
